"Timestamp,Select speaker,How well did the speaker perform in regards to the following criteria? [Clarity: Spoken language is clear and is easily understood],""How well did the speaker perform in regards to the following criteria? [Vocal Variety: Uses tone, speed, and volume as tools]"",How well did the speaker perform in regards to the following criteria? [Eye Contact: Effectively uses eye contact to engage audience],How well did the speaker perform in regards to the following criteria? [Gestures: Uses physical gestures effectively],""How well did the speaker perform in regards to the following criteria? [Interest: Engages audience with interesting, well-constructed content]"",What did you like about the speech (optional)?,What could the speaker improve (optional)?,Your name (optional)?";
10/19/2020 19:09:37,Alice Wonder,Accomplished,Accomplished,Accomplished,Accomplished,Accomplished,Interesting and informative,there was a lot of glare on your glasses,;
10/19/2020 19:09:43,Alice Wonder,Excels,Accomplished,Accomplished,Accomplished,Excels,,,;
10/19/2020 19:09:46,Alice Wonder,Excels,Excels,Excels,Excels,Excels,The information about leadership ,None ,Tom ;
10/19/2020 19:09:51,Alice Wonder,,,,,,Unleash leader within you,Check your sound setting before speech,;
10/19/2020 19:09:55,Alice Wonder,Accomplished,Accomplished,Accomplished,Developing,Developing,Informative; enjoyable,Glasses were reflecting a screen. A bit distracting.,
10/19/2020 19:10:03,Alice Wonder,Excels,Excels,Excels,Excels,Excels,,,;
"10/19/2020 19:10:07,Alice Wonder,Excels,Accomplished,Accomplished,Developing,Accomplished,""Very clear topic, contains lots of quality information"",more vocal variety ,";
10/19/2020 19:10:49,Alice Wonder,Excels,Excels,Excels,Accomplished,Accomplished,captivating ,,;
"10/19/2020 19:10:55,Alice Wonder,Excels,Accomplished,Accomplished,Developing,Accomplished,""I thought it was a powerful speech, you delivered a very clear and passionate key message"",it seemed like you were reading off of the screen as your eyes followed the words and i could hearing the tapping of the key.,";
"10/19/2020 19:11:28,Alice Wonder,Excels,Developing,Accomplished,Developing,Accomplished,""I really liked the intro, that you stated something, then did """"ladies and gentlemen"""" (or something similar), also liked the contact with the audience"",Perhaps try to vary the intonation and pace a bit more :) ,Joanne";
10/19/2020 19:12:38,Alice Wonder,Accomplished,Developing,Developing,Developing,Developing,I loved the final sentence, that was mind blowing!,Tonality and vocal variety.,Sam;
10/19/2020 19:15:58,Alice Wonder,Accomplished,Developing,Developing,Developing,Accomplished,Well prepared and well structured speech. You did it in 2 days preparation,I could not see your eyes due to the reflection of your specs. Allow more vocal variety as a powerful tool in your speech ,;
10/19/2020 19:16:32,John Smith,Accomplished,Developing,Accomplished,Developing,Developing,,,;
10/19/2020 19:16:35,John Smith,Developing,Developing,Accomplished,Accomplished,Accomplished,Content,More energy,;
"10/19/2020 19:16:38,John Smith,Developing,Developing,Accomplished,Developing,Accomplished,""Brilliant, great insight, I'll be reading one of your books"",""Really good ice breaker, maybe consider working on vocal variety"",Jack";
10/19/2020 19:16:41,John Smith,Excels,Excels,Excels,Excels,Excels,,,;
10/19/2020 19:16:44,John Smith,Developing,Accomplished,Developing,Developing,Excels,i love that fact you talk about one major aspect of your talent and passion which is writing,taking pulses and creating eye contact ,;
10/19/2020 19:16:54,John Smith,Accomplished,Accomplished,Accomplished,Accomplished,Accomplished,Interesting topic and it was personal ,,;
10/19/2020 19:16:59,John Smith,Accomplished,Developing,Accomplished,Developing,Accomplished,It was interesting ,,Phil;
10/19/2020 19:17:13,John Smith,,,,,,Great story I want to buy your book!,,Simone;
10/19/2020 19:17:30,John Smith,Accomplished,Accomplished,Accomplished,Accomplished,Accomplished,Providing background Information around why she wants to join was very thought out and interesting,Nerves coming out as fillers ,;
"10/19/2020 19:17:51,John Smith,Accomplished,Developing,Accomplished,Accomplished,Accomplished,""Great attempt considering your first icebreaker, articulated very clearly and easy to follow. You are going to be excellent by the time you need to appear in your book conference in November 2021!"",I'd look forward to you using more vocal variety in your next speech,Ashley";
"10/19/2020 19:17:51,John Smith,Excels,Accomplished,Developing,Beginning,Accomplished,""Well done! Loved your speech, hearing about your background and your writing fantastic"",,Mark";
10/19/2020 19:17:54,John Smith,Accomplished,Accomplished,Developing,Developing,Excels,Loved the topic. Loved the sincerity. Loved the speech. BRAVO.,Maybe to write your pen name on the chat so we can all google it straight away... ,Catherine;
"10/19/2020 19:18:29,John Smith,Excels,Developing,Accomplished,Developing,Accomplished,""I liked the story of your journey as a write, found it interesting as i know very little of that world"",""more vocal variety to match the different emotions in the your speech, also more hand / body gestures to animate your speaking."",Rob";
10/19/2020 19:27:14,Lauren Ipsum,Excels,Excels,Excels,Excels,Excels,,,;
10/19/2020 19:27:25,Lauren Ipsum,Developing,Beginning,Accomplished,Accomplished,Accomplished,Energy level,Focus of content,;
